state,date,households,persons,avg_per_household,avg_per_person,total_cost
Delaware,1995-11-01,20392,55058,186.94,69.24,3812180
Delaware,1995-12-01,21131,57053,187.47,69.43,3961407
Delaware,1996-01-01,21182,57192,186.08,68.92,3941605
Delaware,1996-02-01,21673,58517,186.65,69.13,4045271
Delaware,1996-03-01,21883,59083,185.65,68.76,4062470
Delaware,1996-04-01,21933,59220,183.82,68.08,4031629
Delaware,1996-05-01,21568,58232,182.17,67.47,3928944
Delaware,1996-06-01,21426,57850,182.65,67.65,3913514
Delaware,1996-07-01,22016,59443,181.25,67.13,3990361
Delaware,1996-08-01,21999,59396,180.16,66.73,3963440
Delaware,1996-09-01,21754,58736,178.59,66.14,3885075
District of Columbia,1995-10-01,43003,94177,195.51,89.28,8407681
District of Columbia,1995-11-01,42894,93568,182.17,83.51,7813896
District of Columbia,1995-12-01,42870,93885,189.35,86.46,8117257
District of Columbia,1996-01-01,41899,91759,189.0,86.3,7918903
District of Columbia,1996-02-01,42467,93397,178.63,81.22,7585816
District of Columbia,1996-03-01,42538,93158,187.81,85.76,7988979
District of Columbia,1996-04-01,42471,93011,189.6,86.57,8052370
District of Columbia,1996-05-01,42470,93009,187.96,85.83,7982537
District of Columbia,1996-06-01,42470,93009,180.6,82.47,7670187
District of Columbia,1996-07-01,42422,92904,186.79,85.29,7924042
District of Columbia,1996-08-01,41162,90144,188.74,86.18,7768824
District of Columbia,1996-09-01,41547,90989,185.88,84.87,7722649
Maryland,1995-10-01,168061,383924,181.71,79.54,30538609
Maryland,1995-11-01,166785,380029,185.87,81.57,30999707
Maryland,1995-12-01,167314,380557,184.59,81.15,30883871
Maryland,1996-01-01,165685,376336,184.08,81.04,30499101
Maryland,1996-02-01,165438,375839,183.61,80.82,30376456
Maryland,1996-03-01,167091,379281,184.76,81.39,30871035
Maryland,1996-04-01,165689,376075,182.08,80.22,30168594
Maryland,1996-05-01,164762,376075,181.56,79.54,29913637
Maryland,1996-06-01,163403,371249,181.21,79.76,29610174
Maryland,1996-07-01,162701,369279,180.89,79.7,29430533
Maryland,1996-08-01,160828,364642,182.53,80.51,29355621
Maryland,1996-09-01,158959,360858,181.86,80.11,28909029
New Jersey,1995-10-01,231968,543542,169.89,72.5,39409125
New Jersey,1995-11-01,234328,549073,187.46,80.0,43928129
New Jersey,1995-12-01,234630,545087,199.24,85.76,46748367
New Jersey,1996-01-01,232236,542416,170.84,73.14,39674308
New Jersey,1996-02-01,233048,543228,184.46,79.14,42989020
New Jersey,1996-03-01,236823,549786,186.62,80.39,44196880
New Jersey,1996-04-01,234835,545232,177.15,76.3,41600637
New Jersey,1996-05-01,233065,539449,183.81,79.41,42839992
New Jersey,1996-06-01,232648,539321,183.29,79.06,42641056
New Jersey,1996-07-01,230411,533722,180.54,77.94,41597565
New Jersey,1996-08-01,228962,530324,191.87,82.84,43929869
New Jersey,1996-09-01,226446,524246,168.85,72.93,38235776
Pennsylvania,1995-10-01,499451,1136697,161.74,71.07,80781735
Pennsylvania,1995-11-01,495794,1127461,166.86,73.37,82726323
Pennsylvania,1995-12-01,524225,1209451,167.22,72.48,87660015
Pennsylvania,1996-01-01,499989,1141238,168.2,73.69,84099521
Pennsylvania,1996-02-01,495108,1126913,167.16,73.44,82763434
Pennsylvania,1996-03-01,504193,1151785,168.05,73.57,84731695
Pennsylvania,1996-04-01,498955,1137019,166.45,73.04,83051299
Pennsylvania,1996-05-01,490998,1115564,165.62,72.89,81317813
Pennsylvania,1996-06-01,481651,1100179,167.7,73.42,80774547
Pennsylvania,1996-07-01,474493,1075383,164.47,72.57,78039415
Pennsylvania,1996-08-01,476702,1088262,165.41,72.46,78852856
Pennsylvania,1996-09-01,469388,1072545,162.53,71.13,76290038
Virginia,1995-10-01,235847,544027,162.12,70.28,38235071
Virginia,1995-11-01,237473,546627,160.45,69.7,38101913
Virginia,1995-12-01,236101,542440,161.92,70.48,38229377
Virginia,1996-01-01,237155,544764,159.08,69.25,37727357
Virginia,1996-02-01,240012,549790,160.08,69.89,38422270
Virginia,1996-03-01,238737,546853,161.54,70.52,38565226
Virginia,1996-04-01,235548,537744,160.17,70.16,37727479
Virginia,1996-05-01,234174,534868,159.45,69.81,37340121
Virginia,1996-06-01,231986,529286,158.5,69.47,36769086
Virginia,1996-07-01,231175,527867,158.17,69.27,36565509
Virginia,1996-08-01,230630,525903,157.41,69.03,36304204
Virginia,1996-09-01,228240,520201,155.93,68.41,35588983
Virgin Islands,1995-10-01,23515,73372,414.82,132.95,9754438
Virgin Islands,1995-11-01,15155,46550,378.29,123.16,5732974
Virgin Islands,1995-12-01,13952,42771,363.23,118.49,5067775
Virgin Islands,1996-01-01,6993,22499,335.38,104.24,2345295
Virgin Islands,1996-02-01,7112,22860,340.86,106.04,2424175
Virgin Islands,1996-03-01,7199,23141,331.25,103.05,2384693
Virgin Islands,1996-04-01,7226,23130,325.88,101.81,2354791
Virgin Islands,1996-05-01,7235,23199,328.72,102.52,2378303
Virgin Islands,1996-06-01,7024,22527,332.45,103.66,2335105
Virgin Islands,1996-07-01,7223,22426,330.26,106.37,2385461
Virgin Islands,1996-08-01,7281,23073,326.77,103.12,2379179
Virgin Islands,1996-09-01,7057,22405,324.91,102.34,2292888
West Virginia,1995-10-01,120679,300302,175.32,70.46,21157862
West Virginia,1995-11-01,120824,300033,174.72,70.36,21110120
West Virginia,1995-12-01,121012,301009,173.88,69.9,21041628
West Virginia,1996-01-01,122418,304714,174.04,69.92,21305058
West Virginia,1996-02-01,123009,306931,175.21,70.22,21552795
West Virginia,1996-03-01,122493,304549,174.23,70.08,21341661
West Virginia,1996-04-01,122231,303634,174.71,70.33,21354947
West Virginia,1996-05-01,120569,299105,174.09,70.17,20989416
West Virginia,1996-06-01,119026,295085,173.37,69.93,20635991
West Virginia,1996-07-01,119121,294594,172.65,69.81,20566057
West Virginia,1996-08-01,118901,293122,171.37,69.52,20376436
West Virginia,1996-09-01,119190,293545,171.26,69.54,20412785
Alabama,1995-10-01,204221,510192,186.28,74.56,38041604
Alabama,1995-11-01,203860,508351,180.61,72.43,36819982
Alabama,1995-12-01,205223,512579,180.99,72.47,37144016
Alabama,1996-01-01,208410,521122,178.43,71.36,37186841
Alabama,1996-02-01,207675,519071,176.85,70.76,36726885
Alabama,1996-03-01,206537,515344,179.31,71.86,37034791
Alabama,1996-04-01,203621,507160,178.95,71.85,36437817
Alabama,1996-05-01,203526,506992,178.96,71.84,36422305
Alabama,1996-06-01,201349,500927,176.51,70.95,35539505
Alabama,1996-07-01,201500,501548,179.74,72.21,36217430
Alabama,1996-08-01,202807,505115,178.56,71.69,36213825
Alabama,1996-09-01,201629,502171,177.16,71.13,35720203
Florida,1995-10-01,604186,1415832,190.28,81.2,114967348
Florida,1995-11-01,600502,1405575,188.64,80.59,113276176
Florida,1995-12-01,600082,1401472,185.31,79.34,111199053
Florida,1996-01-01,595543,1385337,183.36,78.83,109201553
Florida,1996-02-01,590765,1370501,184.25,79.42,108847568
Florida,1996-03-01,590761,1367290,182.58,78.89,107859398
Florida,1996-04-01,588410,1360768,181.09,78.3,106553051
Florida,1996-05-01,584263,1352158,181.3,78.34,105925792
Florida,1996-06-01,578430,1338407,177.53,76.73,102690913
Florida,1996-07-01,586601,1355316,179.8,77.82,105471348
Florida,1996-08-01,582734,1356120,180.83,77.7,105375982
Florida,1996-09-01,582734,1347443,178.74,77.3,104158120
Georgia,1995-10-01,322536,808415,188.8,75.32,60893277
Georgia,1995-11-01,327935,807111,182.22,74.04,59755074
Georgia,1995-12-01,327389,804446,182.86,74.42,59867576
Georgia,1996-01-01,327809,804325,181.26,73.88,59419815
Georgia,1996-02-01,326456,801059,181.03,73.78,59098931
Georgia,1996-03-01,326256,800683,181.86,74.1,59331656
Georgia,1996-04-01,325693,795621,180.74,73.99,58867177
Georgia,1996-05-01,324421,791773,179.25,73.45,58153036
Georgia,1996-06-01,317215,774501,181.07,74.16,57438416
Georgia,1996-07-01,318206,777264,179.58,73.52,57144548
Georgia,1996-08-01,318095,776793,179.47,73.49,57087946
Georgia,1996-09-01,315426,768033,178.42,73.28,56279224
Kentucky,1995-10-01,185179,510983,190.09,68.89,35199806
Kentucky,1995-11-01,185685,496879,187.18,69.95,34756773
Kentucky,1995-12-01,185318,481535,185.29,71.31,34337495
Kentucky,1996-01-01,189301,491339,185.53,71.48,35121150
Kentucky,1996-02-01,186732,485859,184.55,70.93,34462014
Kentucky,1996-03-01,189732,492952,184.67,71.08,35038013
Kentucky,1996-04-01,188460,488873,184.36,71.07,34744878
Kentucky,1996-05-01,186632,482608,183.38,70.91,34224098
Kentucky,1996-06-01,184677,477918,184.27,71.2,34029655
Kentucky,1996-07-01,184923,477114,184.86,71.65,34184487
Kentucky,1996-08-01,183124,472625,184.41,71.45,33769090
Kentucky,1996-09-01,182006,468845,182.56,70.87,33227390
Mississippi,1995-10-01,181749,468072,179.22,69.59,32573220
Mississippi,1995-11-01,179695,460617,174.63,68.13,31379842
Mississippi,1995-12-01,182543,468914,176.36,68.65,32192615
Mississippi,1996-01-01,182674,468277,175.46,68.45,32051361
Mississippi,1996-02-01,179358,459011,173.82,67.92,31175464
Mississippi,1996-03-01,181549,465408,177.78,69.35,32276325
Mississippi,1996-04-01,179871,460764,177.25,69.2,31882621
Mississippi,1996-05-01,176914,451290,172.39,67.58,30497491
Mississippi,1996-06-01,177170,453558,174.82,68.29,30972707
Mississippi,1996-07-01,173507,441101,171.03,67.27,29674031
Mississippi,1996-08-01,175723,447742,175.07,68.71,30762945
Mississippi,1996-09-01,173253,440523,176.0,69.22,30492497
North Carolina,1995-10-01,258411,614817,164.27,69.04,42448691
North Carolina,1995-11-01,257224,610316,162.12,68.33,41701573
North Carolina,1995-12-01,258126,611023,160.4,67.76,41403286
North Carolina,1996-01-01,260528,615142,159.05,67.36,41436255
North Carolina,1996-02-01,257387,608093,159.62,67.56,41083046
North Carolina,1996-03-01,259540,611871,160.83,68.22,41741187
North Carolina,1996-04-01,257121,605653,160.62,68.19,41297729
North Carolina,1996-05-01,254918,599666,159.26,67.7,40598802
North Carolina,1996-06-01,252595,593569,157.85,67.17,39872530
North Carolina,1996-07-01,252549,593490,160.41,68.26,40510479
North Carolina,1996-08-01,257092,605208,164.35,69.82,42253545
North Carolina,1996-09-01,359137,903883,257.42,102.28,92448096
South Carolina,1995-10-01,137549,355762,182.84,70.69,25149180
South Carolina,1995-11-01,136841,353509,181.48,70.25,24834326
South Carolina,1995-12-01,139058,358247,180.27,69.97,25067684
South Carolina,1996-01-01,139905,359791,179.55,69.82,25120146
South Carolina,1996-02-01,139564,358635,179.22,69.75,25013263
South Carolina,1996-03-01,141133,361441,178.53,69.71,25196459
South Carolina,1996-04-01,140617,359779,178.8,69.88,25142640
South Carolina,1996-05-01,140665,358820,176.96,69.37,24891601
South Carolina,1996-06-01,140411,358159,175.85,68.94,24691310
South Carolina,1996-07-01,140730,358618,176.44,69.24,24831014
South Carolina,1996-08-01,141350,359801,175.94,69.12,24869682
South Carolina,1996-09-01,140768,357532,174.4,68.66,24549477
Tennessee,1995-10-01,273687,640071,169.55,72.5,46402354
Tennessee,1995-11-01,273125,638387,166.73,71.33,45537299
Tennessee,1995-12-01,270544,631036,164.92,70.71,44618979
Tennessee,1996-01-01,278359,648837,165.96,71.2,46195740
Tennessee,1996-02-01,273814,637823,163.95,70.38,44892523
Tennessee,1996-03-01,278856,648683,165.39,71.1,46120448
Tennessee,1996-04-01,276917,644210,164.86,70.87,45652254
Tennessee,1996-05-01,274066,637301,162.72,69.98,44597110
Tennessee,1996-06-01,273169,635078,163.27,70.23,44600791
Tennessee,1996-07-01,273660,635717,163.7,70.47,44796836
Tennessee,1996-08-01,269822,627480,163.26,70.2,44051070
Tennessee,1996-09-01,272378,628657,161.94,70.16,44107540
Illinois,1995-10-01,472323,1115122,179.18,75.9,84632695
Illinois,1995-11-01,470581,1107204,177.64,75.5,83593354
Illinois,1995-12-01,473127,1115503,184.73,78.35,87399559
Illinois,1996-01-01,473732,1116181,184.37,78.25,87341830
Illinois,1996-02-01,470570,1110023,199.23,84.46,93750275
Illinois,1996-03-01,473239,1114597,184.48,78.33,87302489
Illinois,1996-04-01,473239,1112635,183.21,77.92,86700324
Illinois,1996-05-01,469318,1102968,181.62,77.28,85236409
Illinois,1996-06-01,469256,1103289,181.7,77.28,85263710
Illinois,1996-07-01,464137,1088877,181.69,77.45,84328401
Illinois,1996-08-01,464124,1091297,182.3,77.53,84608028
Illinois,1996-09-01,461211,1084224,181.88,77.37,83886162
Indiana,1995-10-01,160310,405481,179.53,70.98,28780875
Indiana,1995-11-01,157924,399578,175.91,69.52,27780321
Indiana,1995-12-01,157784,398185,176.37,69.89,27828846
Indiana,1996-01-01,157883,398527,176.72,70.01,27901013
Indiana,1996-02-01,157268,397270,177.27,70.18,27879196
Indiana,1996-03-01,157608,397595,177.96,70.54,28048123
Indiana,1996-04-01,155966,392751,178.22,70.77,27795800
Indiana,1996-05-01,154057,387272,177.99,70.81,27421137
Indiana,1996-06-01,151628,380218,177.3,70.71,26884308
Indiana,1996-07-01,150798,378032,178.57,71.23,26928729
Indiana,1996-08-01,149028,372574,177.98,71.19,26523611
Indiana,1996-09-01,147104,366964,177.43,71.13,26100555
Michigan,1995-10-01,406807,934943,156.54,68.11,63682426
Michigan,1995-11-01,402004,920909,154.86,67.6,62254427
Michigan,1995-12-01,400972,919381,154.81,67.52,62073524
Michigan,1996-01-01,448657,1028795,155.64,67.88,69830795
Michigan,1996-02-01,451129,1027876,152.31,66.85,68711834
Michigan,1996-03-01,407424,932227,161.11,70.41,65641002
Michigan,1996-04-01,405374,926336,161.09,70.49,65301905
Michigan,1996-05-01,401225,914701,159.18,69.82,63868059
Michigan,1996-06-01,402094,918551,159.7,69.91,64212461
Michigan,1996-07-01,395076,896689,157.38,69.34,62178308
Michigan,1996-08-01,397932,906259,158.33,69.52,63003580
Michigan,1996-09-01,395186,898329,158.41,69.69,62601932
Minnesota,1995-10-01,126449,295789,143.15,61.2,18101657
Minnesota,1995-11-01,124281,290054,141.55,60.65,17591373
Minnesota,1995-12-01,124363,291830,148.61,63.33,18481294
Minnesota,1996-01-01,125041,292966,148.79,63.51,18605327
Minnesota,1996-02-01,124036,290284,148.38,63.4,18405042
Minnesota,1996-03-01,126426,296422,147.82,63.05,18688638
Minnesota,1996-04-01,127324,297765,145.75,62.32,18557423
Minnesota,1996-05-01,142863,335528,138.43,58.94,19775974
Minnesota,1996-06-01,123782,292670,150.2,63.53,18592572
Minnesota,1996-07-01,121823,286537,147.53,62.72,17972552
Minnesota,1996-08-01,122381,287505,146.27,62.26,17900325
Minnesota,1996-09-01,119457,280550,145.01,61.74,17322446
Ohio,1995-10-01,477848,1092786,174.2,76.17,83240784
Ohio,1995-11-01,471002,1077728,172.56,75.41,81275800
Ohio,1995-12-01,470862,1076675,171.68,75.08,80837173
Ohio,1996-01-01,472190,1078557,171.95,75.28,81192929
Ohio,1996-02-01,473614,1058312,166.99,74.73,79087871
Ohio,1996-03-01,467196,1065554,170.73,74.86,79765987
Ohio,1996-04-01,464628,1053985,169.51,74.72,78757723
Ohio,1996-05-01,447374,1036070,171.6,74.1,76771506
Ohio,1996-06-01,447087,1035321,166.67,71.97,74514528
Ohio,1996-07-01,448231,1011784,167.2,74.07,74945508
Ohio,1996-08-01,438533,987983,165.58,73.5,72613446
Ohio,1996-09-01,430529,966034,165.55,73.78,71273677
Wisconsin,1995-10-01,113419,307953,146.63,54.0,16630806
Wisconsin,1995-11-01,109404,297065,151.93,55.95,16621216
Wisconsin,1995-12-01,109091,296474,171.67,63.17,18727483
Wisconsin,1996-01-01,108772,295615,162.71,59.87,17698777
Wisconsin,1996-02-01,107392,291564,158.14,58.25,16983302
Wisconsin,1996-03-01,107041,291350,159.59,58.63,17082878
Wisconsin,1996-04-01,106473,289387,162.14,59.66,17263986
Wisconsin,1996-05-01,102307,277021,158.95,58.7,16262051
Wisconsin,1996-06-01,100456,271858,156.54,57.84,15725123
Wisconsin,1996-07-01,97868,263141,153.73,57.18,15045609
Wisconsin,1996-08-01,97115,261957,158.15,58.63,15358313
Wisconsin,1996-09-01,95008,255669,150.75,56.02,14322616
Arkansas,1995-10-01,106122,267405,173.29,68.77,18390091
Arkansas,1995-11-01,106418,267964,171.3,68.03,18229666
Arkansas,1995-12-01,107619,270946,170.02,67.53,18297784
Arkansas,1996-01-01,109559,275838,170.96,67.9,18730660
Arkansas,1996-02-01,109271,275866,171.73,68.02,18764811
Arkansas,1996-03-01,110578,278472,171.41,68.06,18954084
Arkansas,1996-04-01,110618,278540,171.66,68.17,18988359
Arkansas,1996-05-01,109483,275200,170.6,67.87,18677530
Arkansas,1996-06-01,108998,273919,170.11,67.69,18541521
Arkansas,1996-07-01,109178,274362,171.65,68.31,18740689
Arkansas,1996-08-01,109359,274617,171.52,68.3,18757526
Arkansas,1996-09-01,109205,273674,170.65,68.09,18635602
Louisiana,1995-10-01,260975,685719,191.69,72.96,50026627
Louisiana,1995-11-01,259300,680681,190.44,72.55,49380250
Louisiana,1995-12-01,258152,677300,190.39,72.57,49150184
Louisiana,1996-01-01,255568,666186,188.86,72.45,48266288
Louisiana,1996-02-01,252893,662032,190.57,72.8,48193094
Louisiana,1996-03-01,252722,660997,190.67,72.9,48187458
Louisiana,1996-04-01,252722,660997,203.21,77.7,51356169
Louisiana,1996-05-01,295844,776535,199.24,75.91,58943303
Louisiana,1996-06-01,249923,645323,193.66,75.0,48400578
Louisiana,1996-07-01,247071,644205,197.84,75.88,48880253
Louisiana,1996-08-01,246908,644074,196.98,75.51,48636478
Louisiana,1996-09-01,244501,636356,196.18,75.38,47966371
New Mexico,1995-10-01,86129,235064,194.8,71.38,16777909
New Mexico,1995-11-01,85890,234605,193.61,70.88,16628778
New Mexico,1995-12-01,86996,237262,191.7,70.29,16677171
New Mexico,1996-01-01,87902,238350,192.06,70.83,16882621
New Mexico,1996-02-01,87452,237584,192.36,70.81,16822439
New Mexico,1996-03-01,88584,239585,191.13,70.67,16930797
New Mexico,1996-04-01,87569,237046,191.08,70.59,16732404
New Mexico,1996-05-01,86846,235225,190.78,70.44,16568604
New Mexico,1996-06-01,85815,232755,190.31,70.17,16331854
New Mexico,1996-07-01,86022,233124,191.81,70.78,16499889
New Mexico,1996-08-01,85250,231369,190.23,70.09,16216880
New Mexico,1996-09-01,84572,228748,189.99,70.24,16068122
Oklahoma,1995-10-01,150408,365153,178.57,73.55,26858100
Oklahoma,1995-11-01,150871,366285,177.16,72.97,26728135
Oklahoma,1995-12-01,151079,366240,176.72,72.9,26698116
Oklahoma,1996-01-01,151031,364879,174.29,72.14,26323823
Oklahoma,1996-02-01,149994,362548,174.87,72.35,26230172
Oklahoma,1996-03-01,150455,362734,175.54,72.81,26410929
Oklahoma,1996-04-01,148159,355938,173.61,72.26,25721282
Oklahoma,1996-05-01,145659,349971,173.35,72.15,25250359
Oklahoma,1996-06-01,142188,340883,173.82,72.5,24715408
Oklahoma,1996-07-01,140842,336540,173.4,72.57,24421798
Oklahoma,1996-08-01,141241,337765,186.8,78.11,26384169
Oklahoma,1996-09-01,140842,336540,156.28,65.4,22011000
Texas,1995-10-01,920122,2469654,204.53,76.2,188195518
Texas,1995-11-01,912616,2466315,204.74,75.76,186848883
Texas,1995-12-01,916752,2460931,201.94,75.23,185128246
Texas,1996-01-01,916320,2455760,202.08,75.4,185168237
Texas,1996-02-01,897920,2412501,201.88,75.14,181275657
Texas,1996-03-01,900525,2414588,201.7,75.22,181632905
Texas,1996-04-01,884503,2372974,201.4,75.07,178137328
Texas,1996-05-01,873702,2341176,200.81,74.94,175445831
Texas,1996-06-01,861470,2307335,200.32,74.79,172573805
Texas,1996-07-01,852516,2275777,197.64,74.04,168492823
Texas,1996-08-01,847218,2260124,200.71,75.24,170043143
Texas,1996-09-01,834559,2228765,200.38,75.03,167226088
Colorado,1995-10-01,99909,241076,180.26,74.7,18009143
Colorado,1995-11-01,99936,240434,178.48,74.18,17836131
Colorado,1995-12-01,101078,243070,176.92,73.57,17883002
Colorado,1996-01-01,104274,250717,172.52,71.75,17989643
Colorado,1996-02-01,103853,249669,173.33,72.1,18001011
Colorado,1996-03-01,105682,253471,168.51,70.26,17808591
Colorado,1996-04-01,104348,250279,171.62,71.55,17907888
Colorado,1996-05-01,102043,244785,171.12,71.33,17461716
Colorado,1996-06-01,99980,240006,170.72,71.12,17068178
Colorado,1996-07-01,100394,239537,169.76,71.15,17043249
Colorado,1996-08-01,97444,237758,173.45,71.09,16902081
Colorado,1996-09-01,97787,233505,169.08,70.81,16533763
Iowa,1995-10-01,73307,177617,163.65,67.54,11996970
Iowa,1995-11-01,73056,176593,160.62,66.45,11733947
Iowa,1995-12-01,73865,178467,160.9,66.6,11885003
Iowa,1996-01-01,73996,178561,160.7,66.59,11890862
Iowa,1996-02-01,74466,179109,159.6,66.36,11884880
Iowa,1996-03-01,75169,181699,161.12,66.65,12111029
Iowa,1996-04-01,74982,180996,161.39,66.86,12101658
Iowa,1996-05-01,73882,177199,157.15,65.52,11610481
Iowa,1996-06-01,73494,176895,159.4,66.22,11714674
Iowa,1996-07-01,72506,173428,155.37,64.96,11265219
Iowa,1996-08-01,72531,174606,159.5,66.25,11568372
Iowa,1996-09-01,71781,172227,158.25,65.96,11359456
Kansas,1995-10-01,73527,177748,162.28,67.13,11932254
Kansas,1995-11-01,72054,173422,160.42,66.65,11559027
Kansas,1995-12-01,72326,174058,160.12,66.53,11580802
Kansas,1996-01-01,72500,173925,158.38,66.02,11482644
Kansas,1996-02-01,72727,174760,157.03,65.35,11420035
Kansas,1996-03-01,73514,177401,159.41,66.06,11718852
Kansas,1996-04-01,73102,175436,158.01,65.84,11550692
Kansas,1996-05-01,71463,169882,154.79,65.12,11062001
Kansas,1996-06-01,70925,168856,155.8,65.44,11049817
Kansas,1996-07-01,70272,165832,149.81,63.48,10527200
Kansas,1996-08-01,70405,167481,154.05,64.76,10846066
Kansas,1996-09-01,68859,163172,154.17,65.06,10615829
Missouri,1995-10-01,232780,558804,169.63,70.66,39486017
Missouri,1995-11-01,231480,554983,168.17,70.14,38927749
Missouri,1995-12-01,258698,613264,169.66,71.57,43891600
Missouri,1996-01-01,235743,563657,173.4,72.52,40877471
Missouri,1996-02-01,233461,559652,173.18,72.24,40430387
Missouri,1996-03-01,235086,561237,172.83,72.39,40630313
Missouri,1996-04-01,233594,527086,172.5,76.45,40295924
Missouri,1996-05-01,230485,548805,171.22,71.91,39463554
Missouri,1996-06-01,229038,545251,171.23,71.93,39218562
Missouri,1996-07-01,227983,541680,171.95,72.37,39202331
Missouri,1996-08-01,227090,539700,171.37,72.11,38916748
Missouri,1996-09-01,224470,533036,170.66,71.87,38307897
Montana,1995-10-01,27458,68292,165.09,66.38,4533176
Montana,1995-11-01,27815,69118,164.75,66.3,4582610
Montana,1995-12-01,28200,70607,174.06,69.52,4908444
Montana,1996-01-01,30803,72144,170.49,72.79,5251573
Montana,1996-02-01,29868,73148,172.32,70.36,5146990
Montana,1996-03-01,29269,73488,173.76,69.21,5085781
Montana,1996-04-01,29018,72914,173.03,68.86,5020906
Montana,1996-05-01,28728,71950,171.57,68.5,4928828
Montana,1996-06-01,28472,71173,170.95,68.39,4867373
Montana,1996-07-01,28215,70412,170.06,68.15,4798335
Montana,1996-08-01,27819,69165,169.25,68.08,4708483
Montana,1996-09-01,27043,66640,168.44,68.35,4555113
Nebraska,1995-10-01,42122,100947,146.46,61.11,6169080
Nebraska,1995-11-01,42042,100795,153.13,63.87,6437812
Nebraska,1995-12-01,42060,100696,152.04,63.51,6394735
Nebraska,1996-01-01,42303,101480,152.74,63.67,6461366
Nebraska,1996-02-01,42751,102633,153.61,63.99,6567114
Nebraska,1996-03-01,43324,104091,157.12,65.4,6807213
Nebraska,1996-04-01,43324,104091,153.25,63.79,6639521
Nebraska,1996-05-01,42847,102250,151.68,63.56,6498960
Nebraska,1996-06-01,42438,101249,151.5,63.5,6429335
Nebraska,1996-07-01,42593,101367,151.34,63.59,6446232
Nebraska,1996-08-01,42337,100950,150.84,63.26,6386299
Nebraska,1996-09-01,41745,98950,150.21,63.37,6270653
North Dakota,1995-10-01,16223,39183,161.84,67.01,2625552
North Dakota,1995-11-01,16473,39715,163.53,67.83,2693801
North Dakota,1995-12-01,16301,39215,163.03,67.77,2657575
North Dakota,1996-01-01,16653,40179,163.86,67.91,2728684
North Dakota,1996-02-01,16826,40820,162.43,66.96,2733116
North Dakota,1996-03-01,16851,40494,162.76,67.73,2742667
North Dakota,1996-04-01,16849,40932,165.28,68.04,2784854
North Dakota,1996-05-01,16520,40063,163.46,67.4,2700357
North Dakota,1996-06-01,16608,40943,166.8,67.66,2770218
North Dakota,1996-07-01,16238,39761,165.98,67.78,2695119
North Dakota,1996-08-01,15877,38407,162.76,67.28,2584119
North Dakota,1996-09-01,15819,38192,161.25,66.79,2550751
South Dakota,1995-10-01,18400,48800,182.6,68.85,3359918
South Dakota,1995-11-01,18500,49000,178.94,67.56,3310348
South Dakota,1995-12-01,18800,49906,182.97,68.93,3439896
South Dakota,1996-01-01,16269,43512,212.0,79.27,3449082
South Dakota,1996-02-01,18998,50267,179.67,67.91,3413443
South Dakota,1996-03-01,19258,51192,183.15,68.9,3527138
South Dakota,1996-04-01,17918,47510,197.67,74.55,3541787
South Dakota,1996-05-01,18881,49856,180.21,68.25,3402631
South Dakota,1996-06-01,18780,49995,181.1,68.03,3401007
South Dakota,1996-07-01,18242,48353,178.78,67.45,3261259
South Dakota,1996-08-01,19502,49307,173.38,68.57,3381215
South Dakota,1996-09-01,18364,48412,178.03,67.53,3269270
Utah,1995-10-01,42213,111333,172.18,65.28,7268301
Utah,1995-11-01,42198,111265,173.96,65.98,7340823
Utah,1995-12-01,41761,110062,173.05,65.66,7226569
Utah,1996-01-01,42092,110836,169.91,64.53,7152009
Utah,1996-02-01,42241,111184,177.13,67.29,7482093
Utah,1996-03-01,42502,112895,175.7,66.15,7467587
Utah,1996-04-01,42325,111577,173.76,65.91,7354199
Utah,1996-05-01,42128,110857,173.84,66.06,7323455
Utah,1996-06-01,41702,109392,173.98,66.33,7255450
Utah,1996-07-01,40851,109271,172.89,64.64,7062754
Utah,1996-08-01,41101,107242,173.27,66.41,7121434
Utah,1996-09-01,39935,104216,172.22,65.99,6877534
Wyoming,1995-10-01,12298,31949,205.46,79.09,2526710
Wyoming,1995-11-01,12419,32414,183.31,70.23,2276506
Wyoming,1995-12-01,12643,33012,184.59,70.7,2333822
Wyoming,1996-01-01,12958,33728,184.23,70.78,2387207
Wyoming,1996-02-01,12988,33863,184.88,70.91,2401202
Wyoming,1996-03-01,13019,33891,188.31,72.34,2451655
Wyoming,1996-04-01,13109,33955,184.87,71.37,2423398
Wyoming,1996-05-01,12991,33611,183.22,70.82,2380234
Wyoming,1996-06-01,12818,33193,183.46,70.84,2351554
Wyoming,1996-07-01,12584,32604,182.04,70.26,2290821
Wyoming,1996-08-01,12267,31579,179.41,69.69,2200868
Wyoming,1996-09-01,12485,32358,170.8,65.9,2132375
Alaska,1995-10-01,14801,44168,291.47,97.67,4314015
Alaska,1995-11-01,14904,44081,286.2,96.76,4265480
Alaska,1995-12-01,7530,17553,220.88,94.75,1663207
Alaska,1996-01-01,15614,45782,295.92,100.92,4620511
Alaska,1996-02-01,16829,50022,306.45,103.1,5157173
Alaska,1996-03-01,17580,52076,302.01,101.95,5309342
Alaska,1996-04-01,17919,53258,297.18,99.99,5325237
Alaska,1996-05-01,17730,52422,281.42,95.18,4989643
Alaska,1996-06-01,17248,51020,280.19,94.72,4832749
Alaska,1996-07-01,16688,49293,274.48,92.92,4580533
Alaska,1996-08-01,16220,47801,272.15,92.35,4414254
